"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 20 00:02:45 UTC 2026","Tue Jan 20 00:02:58 UTC 2026","12979","","com.capstone.ui_tests.tests.LoginTest","","com.capstone.ui_tests.tests.LoginTest","negativeLoginTests","negativeLoginTests(String, String) invalid_login should show error: invalidcredentials",""
"failed","Tue Jan 20 00:02:58 UTC 2026","Tue Jan 20 00:03:10 UTC 2026","11940","","com.capstone.ui_tests.tests.LoginTest","","com.capstone.ui_tests.tests.LoginTest","negativeLoginTests","negativeLoginTests(String, String) empty_email should show error: emptyFields",""
"failed","Tue Jan 20 00:03:22 UTC 2026","Tue Jan 20 00:03:33 UTC 2026","11860","","com.capstone.ui_tests.tests.LoginTest","","com.capstone.ui_tests.tests.LoginTest","negativeLoginTests","negativeLoginTests(String, String) empty_credentials should show error: emptyFields",""
"failed","Tue Jan 20 00:03:10 UTC 2026","Tue Jan 20 00:03:22 UTC 2026","11891","","com.capstone.ui_tests.tests.LoginTest","","com.capstone.ui_tests.tests.LoginTest","negativeLoginTests","negativeLoginTests(String, String) empty_password should show error: emptyFields",""
"failed","Tue Jan 20 00:03:33 UTC 2026","Tue Jan 20 00:03:45 UTC 2026","11829","","com.capstone.ui_tests.tests.LoginTest","","com.capstone.ui_tests.tests.LoginTest","validLoginTest","validLoginTest()",""
