"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 20 00:03:06 UTC 2026","Tue Jan 20 00:03:13 UTC 2026","6859","","Login functionality","","Invalid login scenarios","","Invalid login scenarios",""
"failed","Tue Jan 20 00:03:13 UTC 2026","Tue Jan 20 00:03:20 UTC 2026","6795","","Login functionality","","Invalid login scenarios","","Invalid login scenarios",""
"failed","Tue Jan 20 00:02:59 UTC 2026","Tue Jan 20 00:03:06 UTC 2026","6850","","Login functionality","","Invalid login scenarios","","Invalid login scenarios",""
"failed","Tue Jan 20 00:02:44 UTC 2026","Tue Jan 20 00:02:52 UTC 2026","8280","","Login functionality","","Valid login","","Valid login",""
"failed","Tue Jan 20 00:02:52 UTC 2026","Tue Jan 20 00:02:59 UTC 2026","6903","","Login functionality","","Invalid login scenarios","","Invalid login scenarios",""
